Statistic,Annual,Local Government Districts,Components of Change,UNIT,VALUE
components-of-population-change-local-government-districts,2013-2014,newry-mourne-and-down,migration-and-other-changes,count,-667
components-of-population-change-local-government-districts,2013-2014,newry-mourne-and-down,end-population,count,175403
components-of-population-change-local-government-districts,2013-2014,ards-and-north-down,starting-population,count,157640
components-of-population-change-local-government-districts,2013-2014,ards-and-north-down,births,count,1734
components-of-population-change-local-government-districts,2013-2014,ards-and-north-down,deaths,count,1391
components-of-population-change-local-government-districts,2013-2014,ards-and-north-down,natural-change,count,343
components-of-population-change-local-government-districts,2013-2014,ards-and-north-down,internal-inflows,count,2904
components-of-population-change-local-government-districts,2013-2014,ards-and-north-down,internal-outflows,count,2530
components-of-population-change-local-government-districts,2013-2014,ards-and-north-down,internal-net,count,374
components-of-population-change-local-government-districts,2013-2014,ards-and-north-down,united-kingdom-inflows,count,1362
components-of-population-change-local-government-districts,2013-2014,ards-and-north-down,united-kingdom-outflows,count,1223
components-of-population-change-local-government-districts,2013-2014,ards-and-north-down,united-kingdom-net,count,139
components-of-population-change-local-government-districts,2013-2014,ards-and-north-down,rest-of-world-inflows,count,468
components-of-population-change-local-government-districts,2013-2014,ards-and-north-down,rest-of-world-outflows,count,599
components-of-population-change-local-government-districts,2013-2014,ards-and-north-down,rest-of-world-net,count,-131
components-of-population-change-local-government-districts,2013-2014,ards-and-north-down,total-inflows,count,4734
components-of-population-change-local-government-districts,2013-2014,ards-and-north-down,total-outflows,count,4352
components-of-population-change-local-government-districts,2013-2014,ards-and-north-down,total-net,count,382
components-of-population-change-local-government-districts,2013-2014,ards-and-north-down,other-changes,count,-434
components-of-population-change-local-government-districts,2013-2014,ards-and-north-down,migration-and-other-changes,count,-52
components-of-population-change-local-government-districts,2013-2014,ards-and-north-down,end-population,count,157931
components-of-population-change-local-government-districts,2014-2015,antrim-and-newtownabbey,starting-population,count,139966
components-of-population-change-local-government-districts,2014-2015,antrim-and-newtownabbey,births,count,1753
components-of-population-change-local-government-districts,2014-2015,antrim-and-newtownabbey,deaths,count,1166
components-of-population-change-local-government-districts,2014-2015,antrim-and-newtownabbey,natural-change,count,587
components-of-population-change-local-government-districts,2014-2015,antrim-and-newtownabbey,internal-inflows,count,3895
components-of-population-change-local-government-districts,2014-2015,antrim-and-newtownabbey,internal-outflows,count,3849
components-of-population-change-local-government-districts,2014-2015,antrim-and-newtownabbey,internal-net,count,46
components-of-population-change-local-government-districts,2014-2015,antrim-and-newtownabbey,united-kingdom-inflows,count,611
components-of-population-change-local-government-districts,2014-2015,antrim-and-newtownabbey,united-kingdom-outflows,count,769
components-of-population-change-local-government-districts,2014-2015,antrim-and-newtownabbey,united-kingdom-net,count,-158
components-of-population-change-local-government-districts,2014-2015,antrim-and-newtownabbey,rest-of-world-inflows,count,562
components-of-population-change-local-government-districts,2014-2015,antrim-and-newtownabbey,rest-of-world-outflows,count,549
components-of-population-change-local-government-districts,2014-2015,antrim-and-newtownabbey,rest-of-world-net,count,13
components-of-population-change-local-government-districts,2014-2015,antrim-and-newtownabbey,total-inflows,count,5068
components-of-population-change-local-government-districts,2014-2015,antrim-and-newtownabbey,total-outflows,count,5167
components-of-population-change-local-government-districts,2014-2015,antrim-and-newtownabbey,total-net,count,-99
components-of-population-change-local-government-districts,2014-2015,antrim-and-newtownabbey,other-changes,count,13
components-of-population-change-local-government-districts,2014-2015,antrim-and-newtownabbey,migration-and-other-changes,count,-86
components-of-population-change-local-government-districts,2014-2015,antrim-and-newtownabbey,end-population,count,140467
components-of-population-change-local-government-districts,2014-2015,armagh-city-banbridge-and-craigavon,starting-population,count,205711
components-of-population-change-local-government-districts,2014-2015,armagh-city-banbridge-and-craigavon,births,count,2899
components-of-population-change-local-government-districts,2014-2015,armagh-city-banbridge-and-craigavon,deaths,count,1541
components-of-population-change-local-government-districts,2014-2015,armagh-city-banbridge-and-craigavon,natural-change,count,1358
components-of-population-change-local-government-districts,2014-2015,armagh-city-banbridge-and-craigavon,internal-inflows,count,3643
components-of-population-change-local-government-districts,2014-2015,armagh-city-banbridge-and-craigavon,internal-outflows,count,3696
components-of-population-change-local-government-districts,2014-2015,armagh-city-banbridge-and-craigavon,internal-net,count,-53
components-of-population-change-local-government-districts,2014-2015,armagh-city-banbridge-and-craigavon,united-kingdom-inflows,count,939
components-of-population-change-local-government-districts,2014-2015,armagh-city-banbridge-and-craigavon,united-kingdom-outflows,count,976
components-of-population-change-local-government-districts,2014-2015,armagh-city-banbridge-and-craigavon,united-kingdom-net,count,-37
components-of-population-change-local-government-districts,2014-2015,armagh-city-banbridge-and-craigavon,rest-of-world-inflows,count,1899
components-of-population-change-local-government-districts,2014-2015,armagh-city-banbridge-and-craigavon,rest-of-world-outflows,count,813
components-of-population-change-local-government-districts,2014-2015,armagh-city-banbridge-and-craigavon,rest-of-world-net,count,1086
components-of-population-change-local-government-districts,2014-2015,armagh-city-banbridge-and-craigavon,total-inflows,count,6481
components-of-population-change-local-government-districts,2014-2015,armagh-city-banbridge-and-craigavon,total-outflows,count,5485
components-of-population-change-local-government-districts,2014-2015,armagh-city-banbridge-and-craigavon,total-net,count,996
components-of-population-change-local-government-districts,2014-2015,armagh-city-banbridge-and-craigavon,other-changes,count,-268
components-of-population-change-local-government-districts,2014-2015,armagh-city-banbridge-and-craigavon,migration-and-other-changes,count,728
components-of-population-change-local-government-districts,2014-2015,armagh-city-banbridge-and-craigavon,end-population,count,207797
components-of-population-change-local-government-districts,2014-2015,belfast,starting-population,count,336830
